time_ns,scl,sda
0,1,1
85,1,0
5095,0,0
12595,1,0
17595,0,0
20095,0,1
22595,1,1
27595,0,1
32595,1,1
37595,0,1
42595,1,1
47595,0,1
52595,1,1
57595,0,1
60095,0,0
62595,1,0
67595,0,0
72595,1,0
77595,0,0
82595,1,0
87595,0,0
92595,1,0
97595,0,0
100095,0,z
100095,0,0
100095,0,1
102595,1,1
107595,0,1
110095,0,0
112595,1,0
117595,0,0
120095,0,1
122595,1,1
127595,0,1
130095,0,0
132595,1,0
137595,0,0
142595,1,0
147595,0,0
150095,0,1
152595,1,1
157595,0,1
160095,0,0
162595,1,0
167595,0,0
170095,0,1
172595,1,1
177595,0,1
180095,1,z
180095,0,z
180095,0,1
180095,0,0
182595,1,0
185095,1,1
